a.  huetz;d.  vichon
munehiko  nagano;ryoko  tsujinishi
h.  orth;p. a. souder
j. p. connerade;j. a. dagata
ivan a. sellin;david j. pegg
j. c. keller;v. p. kaftandjian
jan  erkku;yoram  tal
joseph w. haus;roy j. glauber
harold d. bale;duane a. dolejsi
harris j. silverstone;josef  paldus
h. c. burstyn;p.  esfandiari
richard a. ferrell;jayanta k. bhattacharjee
b. g. ritchie;michael s. pindzola
a. p. rau;k. t. lu
j. h. smart;j. p. downing
grant j. lockwood;glenn h. miller
p.  jacquinot;robert  klapisch
harald  king;fritz  haake
m.  palmquist;p. l. altick
chiyoe  yamanaka;hirokane  kawakami
siddheswar  chaudhuri;r. h. pratt
k.  brau;robert d. cowan
donald g. truhlar;carl f. melius
j. d. knight;l. f. mausner
walter r. thorson;s. k. knudson
e. a. lazarus;s. c. bates
k.  sera;m.  sebata
anthony f. starace;k. n. huang
ramakrishna  gowda;k. s. puttaswamy
moon h. cha;d. w. rule
william m. fairbank;l. j. schaad
r. h. lehmberg;k. a. holder
l. e. murray;j. l. dunlap
sharashchandra h. patil;s. c. kanavi
m.  bitter;k. w. hill
risto m. nieminen;m. t. manninen
marija  vilfan;slobodan  Žumer
larry d. gardner;d. h. crandall
r. l. day;m.  lieber
v.  brückner;f.  löffler
gerhard  huber;f.  touchard
concita  sibilia;mario  bertolotti
arlee v. smith;j. m. goldsmith
paul w. schmidt;j. s. lin
s. m. shafroth;j. richard mowat
a.  pesnelle;j. l. vialle
kenzo  miyazaki;hiroshi  kashiwagi
e. m. helmy;p. h. mauk
harris j. silverstone;peter  otto
b.  liberman;e. h. da jornada
p.  ranson;c.  fleurier
larry a. viehland;s. l. lin
f. t. chan;kazem  omidvar
h. e. wilhelm;sang hee hong
ch.  stoller;robert  anholt
u.  nielsen;ove  poulsen
j. l. davis;j. p. apruzese
santosh k. srivastava;hitoshi  nishimura
seppo  aksela;t. darrah thomas
w. e. frieze;edward a. hinds
f.  matsuoka;chiyoe  yamanaka
fabrizio  barocchi;t. a. litovitz
j  c. gauthier;p.  polak-dingels
m. c. dharma-wardana;annette  lecourt
john a. duncanson;john c. hansen
steven m. valone;joseph f. capitani
d. h. schneider;l. h. toburen
m. v. ramana;a. k. rajagopal
james h. mcguire;n.  stolterfoht
ph.  gouard;c.  peugnet
f. t. chan;t. s. ho
don h. madison;m.  stewart
wesley e. brittin;arthur y. sakakura
g. d. alton;l. b. bridwell
b. e. campbell;p. j. mallozzi
thomas f. gallagher;william e. cooke
c. r. mandal;shyamal  datta
h.  pummer;m.  rothschild
brian  weiner;osvaldo  goscinski
b.  renier;p. d. dumont
roman  salvador;peter  zoller
john m. dawson;charles f. kennel
hideyuki  inouye;koji  noda
masaki  kato;r. s. hornady
j.  richou;myron h. miller
vernon w. hughes;s.  dhawan
k. a. safinya;g. a. ruff
a. p. rau;daryl a. douthat
i. v. mitchell;w. n. lennard
alfred s. schlachter;p. j. schneider
h.  ehrich;daniel e. kelleher
alan a. hahn;kang l. wang
ph.  durand;j. c. barthelat
j. warren stearns;alfred s. schlachter
g. zu putlitz;m. h. yam
d.  umberger;m.  lieber
sadao  nakai;f.  matsuoka
p. e. chumbley;e.  gürmen
niels hessel andersen;arnold  russek
h. e. henrikson;e.  bovet
j. s. lin;paul w. schmidt
kazuo  takatsuka;vincent  mckoy
c. l. cocke;e. b. justiniano
quentin c. kessel;l. b. bridwell
j.  smolorz;s.  hoppenau
gerhard  huber;j. l. vialle
robert d. cowan;t.  coan
s. t. lee;david a. shirley
jeffrey  bokor;joshua (yevsey) zavelovich
t. j. gay;r.  deserio
vojislav  radojević;p. v. grujić
r. c. isler;shinya  kasai
risto m. nieminen;p.  hautojärvi
j.  welch;j. l. dehmer
larry  spruch;robin  shakeshaft
james m. phillips;s. f. wong
n. l. manakov;stanisław  kielich
f.  löffler;p. f. müller
t.  andersen;ove  poulsen
matthew s. lucas;matt d. brown
j.  pinard;robert  klapisch
emile j. knystautas;michèle  jomphe
j. l. vuilleumier;kang l. wang
e. a. whittaker;thomas w. mossberg
kohei  yamada;sadao  nakai
b. r. müller;walter  greiner
r. h. pratt;w.  zakowicz
hitoshi  nishimura;a.  tamura
ronald e. olson;p. j. schneider
pierre  meystre;marlan o. scully
murray  sargent;vincenzo g. benza
murray  sargent;pierre  meystre
r. s. basu;jan v. sengers
joseph e. avron;barry g. adams
l. f. mausner;g. l. schmidt
john t. park;jerry l. peacher
victor  pol;f.  laperriere
terence a. king;christopher  davies
bill  moran;galen k. straub
j. h. smart;y. k. ho
m.  stewart;don h. madison
padma kant shukla;ram k. varma
yasuo  suzuki;yoshio  ishida
james e. turner;m. l. rustgi
t. j. kvale;j. e. aldag
ingrid  kuen;herbert  störi
k.  sera;a.  yamadera
r. s. basu;jayanta k. bhattacharjee
tadayoshi  doke;christopher  davies
a.  beckmann;j.  laane
erling  veje;j. o. ekberg
kazem  omidvar;m.  lieber
eok k. lee;k. d. luks
m. h. yam;g. zu putlitz
v.  schmidt;p.  dhez
bruce c. garrett;carl f. melius
r.  geller;b.  jacquot
arlee v. smith;m. d. levenson
walter r. thorson;mineo  kimura
r.  guccione-gush;r.  schieder
k. l. allawadhi;s. l. verma
j. l. davis;john w. cooper
g. l. henderson;david linton johnson
p. j. cooney;donald s. gemmell
mark  hilley;peter j. mohr
bruce j. zabransky;w. j. pietsch
natarajan d. bhaskar;william  happer
thomas f. gallagher;g. a. ruff
rainer w. hasse;gautam  ghosh
earl w. smith;robert j. ballagh
h. ted davis;l.  foreman
pradip m. bakshi;r.  calinon
g.  winnewisser;r.  schieder
r.  kutina;a. k. edwards
m.  druetta;m. c. buchet-poulizac
ronald e. olson;b. d. liu
gordon h. dunn;paul o. taylor
gautam  ghosh;rainer w. hasse
d.  merlini;pradip m. bakshi
a. s. ghosh;carlos  falcon
james h. mcguire;jerry l. peacher
bogumił  jeziorski;frank e. harris
p. j. schneider;j. warren stearns
k. l. allawadhi;b. s. sood
bernd  crasemann;fernando  parente
s. c. mukherjee;c. r. mandal
s. l. allen;t.  coan
w. e. meyerhot;j. f. chemin
k.  inglis;donald s. gemmell
john  hiller;gerald  feinberg
a. c. gallagher;wan Ü l. brillet
r. t. hawkins;h.  pummer
david a. crosby;keith b. macadam
l. c. pitchford;j. r. rumble
thomas a. carlson;james w. taylor
terry a. miller;benjamin  lax
goruganthu r. rao;m. s. gopinathan
h. h. andersen;flemming  besenbacher
giancarlo  benettin;guido lo vecchio
da hsuan feng;r.  saxena
w. g. graham;klaus h. berkner
david m. ronis;seth j. putterman
robert v. krotkov;j. l. stone
william d. phillips;annie  spielfiedel
d.  merlini;kenneth i. golden
p.  bisgaard;t.  andersen
a. r. kunselman;h. e. henrikson
william e. baylis;j.  migdalek
hermann  grabert;melville s. green
ralph d. hight;r.  deserio
l. f. mausner;j. d. knight
r. s. peterson;david j. pegg
d. w. rule;moon h. cha
john d. morgan;thomas  hoffmann-ostenhof
ronald e. olson;robert v. pyle
j. h. smart;m. s. dababneh
chester a. vause;josef  sak
paulett c. liewer;a. t. lin
m.  vedder;r. l. champion
ira b. bernstein;lazar  friedland
antoinette j. taylor;n. w. carlson
munir h. nayfeh;a. w. mccown
w. e. schwarz;w.  butscher
j.  pinard;f.  touchard
j. tserkrisme ndefru;f. bary malik
m. c. buchet-poulizac;j. p. buchet
a. m. levelut;gilles  sigaud
g. f. drake;s. p. goldman
a. m. robinson;a. w. mckellar
stanley j. sramek;joseph h. macek
yoshinori  akaishi;t. k. lim
paul c. kepple;k. g. whitney
j.  vetter;f. g. mariam
r. k. bera;b.  patra
t.  von egidy;j. j. reidy
v.  brückner;w.  schmidt
p. o. egan;f. g. mariam
peter  winkler;robert  yaris
e. j. beiting;gregory j. hatton
jon  siegel;j. l. dehmer
yoshishige  suzuki;y.  inada
michel  tavernier;pierre  chevallier
m. a. piestrup;r. h. pantell
guy  dewel;pierre  borckmans
ramarao  inguva;charles ray smith
pradip m. bakshi;d.  merlini
g. l. schmidt;l. f. mausner
j. c. camparo;william  happer
b. e. perry;k. a. safinya
joel i. gersten;maurice  cohen
y.  inada;f.  matsuoka
dan  nir;alfred k. mann
m. d. burrows;s. r. ryan
a.  touati;pierre  chevallier
bartley l. cardon;john a. leavitt
s. a. bhatti;william e. cooke
l.  letamendia;g.  nouchi
bernd  crasemann;marianne  breinig
yoram  tal;jan  erkku
teijo  Åberg;osvaldo  goscinski
josef  paldus;jiří  Čížek
a. b. denison;j.  vetter
boël  denne;ove  poulsen
r. k. bansal;g. s. dubey
j. t. hutton;l. m. diana
marco  pettini;alberto m. cantù
jerry l. peacher;v. c. sutcliffe
h. s. suzuki;akira  yagishita
carl b. collins;viorica n. gheorghe
t. j. kvale;v. c. sutcliffe
ingrid  kuen;franz  howorka
denis a. nicole;david  jasnow
k. a. smith;f. b. dunning
t. a. litovitz;marco  zoppi
c. j. david lin;patrick  richard
t. dean gaily;a. g. adam
philip d. miller;matthew s. lucas
terry a. miller;r.  panock
h. gordon berry;r.  deserio
j.  remillieux;n. castro faria
a.  pesnelle;f.  touchard
james m. hall;d. c. gregory
earl w. smith;john w. cooper
f.  boehm;j. p. miller
n. castro faria;m. j. gaillard
john c. hansen;ring ling  chien
rainer  johnsen;manfred a. biondi
peter c. schmidt;k. d. sen
w. g. graham;robert v. pyle
mark  feldman;louis  dimauro
h. c. burstyn;jan v. sengers
e. a. whittaker;ravinder  kachru
allan n. kaufman;john r. cary
duane a. dolejsi;meera  chandrasekhar
gregory j. hatton;k. a. smith
lars  engström;s.  huldt
l. b. bridwell;c. m. jones
t.  coan;robert d. cowan
gerhard  huber;p.  jacquinot
w.  schubert;p. f. müller
walter  greiner;joachim  reinhardt
raymond  kapral;simon j. fraser
a. m. levelut;m. f. achard
c. v. kunasz;peter d. drummond
j. t. hutton;p. g. coleman
m.  bitter;k.  brau
charles e. johnson;vernon w. hughes
david r. herrick;r. d. poliak
john w. cooper;verne l. jacobs
peter  hanggi;ralph s. janda
m.  barat;d.  dhuicq
gregory j. hatton;c.  higgs
j.  remillieux;j. c. poizat
c. j. anderson;a. m. howald
t. j. kvale;john t. park
a. k. edwards;donald s. gemmell
j.  vetter;p. a. thompson
r. f. stebbings;e. j. beiting
t. s. ho;r. l. day
m.  daskhan;priti  khan
r.  hallin;e.  alvarez
suresh v. lawande;m. r. gunye
h. j. oskam;c. p. de vries
sebastian  doniach;calogero renzo natoli
g. l. findley;s. p. mcglynn
ken  sasaki;hiroshi  ryufuku
l. c. mcintyre;o. f. kalman
tetsuo  ogawa;masao  kitano
alberto m. cantù;marco  pettini
shinzou  kubota;christopher  davies
a.  tino;benjamin  bederson
l. wilmer anderson;r. j. girnius
hans g. dehmelt;peter e. toschek
luiz g. ferreira;marco p. lima
g. c. bjorklund;m. d. levenson
w. g. graham;j. a. tanis
cleanthes a. nicolaides;donald r. beck
robert  gilmore;girish s. agarwal
m. e. schillaci;g. l. schmidt
r. l. paul;k.  wagstaff
f.  hardouin;gilles  sigaud
p. a. thompson;p. a. souder
j.  mazeau;r. i. hall
h.  sol;rené  pellat
paul r. keller;david  mehaffy
w.  schubert;v.  brückner
e.  leutheusser;w.  götze
d. a. van baak;stephen r. lundeen
richard b. hickman;william g. hoover
karol  jankowski;p.  malinowski
j. l. vuilleumier;e.  bovet
james r. macdonald;patrick  richard
d. c. gregory;kingsley w. jones
s. r. singh;f. t. hioe
raymond j. fonck;szymon  suckewer
robert e. wyatt;john s. hutchinson
gerald t. moore;rodolfo  bonifacio
arthur j. schwartz;james s. langer
t.  noreland;a.  arnesen
r. l. day;t. s. ho
b.  suleman;m.  ligare
e. l. pollock;jean pierre hansen
george e. chamberlain;b. k. van zyl
robert j. ballagh;earl w. smith
wallace m. manheimer;phillip  sprangle
demetri j. photinos;j. william doane
t. a. osborn;yoshihisa  fujiwara
r. j. powers;a. r. kunselman
d. m. o'brien;m. d. wright
p. g. coleman;l. m. diana
david j. pegg;larry d. gardner
mark  feldman;harold j. metcalf
robert j. ballagh;john w. cooper
a. s. tremblay;masao  arai
l. a. feldkamp;l. c. davis
robert d. cowan;s.  von goeler
sofia d. merajver;andrew g. de rocco
r.  hallin;t.  noreland
h. j. kunze;r.  buchwald
s. c. bates;l. e. murray
chiyoe  yamanaka;yoshishige  suzuki
k. s. puttaswamy;t. k. umesh
brant m. johnson;d. c. gregory
john c. hansen;r. stephen berry
satoru s. kano;ngai c. wong
ali a. antar;philip d. miller
k. n. huang;anthony f. starace
j.  pommier;vu ngoc tuan
d. h. crandall;james e. bayfield
s. m. morita;m.  kamiya
quentin c. kessel;charles d. moak
s. c. bates;shinya  kasai
p. g. cardinal;r. m. measures
gonzalo  gutiérrez;a. r. plastino
luigi a. lugiato;james d. farina
j. l. vialle;f.  touchard
robert l. brooks;r.  deserio
james m. hall;c. j. david lin
kohei  yamada;f.  matsuoka
calvin k. chan;p. p. lu
hans r. griem;aaron d. krumbein
e.  alvarez;Ö.  staaf
a.  kuwako;keizo  ishii
barry g. adams;richard k. moats
chiyoe  yamanaka;hitoshi  nishimura
thomas n. rescigno;vincent  mckoy
girish s. agarwal;p. anantha lakshmi
ernest m. henley;lawrence  wilets
george  birnbaum;bertrand  guillot
david  mehaffy;manfred o. krause
j. l. duggan;f. d. mcdaniel
d. b. kimball;arnold  russek
p. e. cladis;françois r. bouchet
walter l. borst;h. u. kiefl
p. l. finn;d.  guillon
j. e. hardis;r.  deserio
jeffrey  bokor;m.  rothschild
k. c. crebbin;steven p. ahlen
a. r. bogdan;m. c. downer
p. h. mauk;s. b. woo
m.  ligare;william  happer
p.  lambropoulos;s. n. dixit
davide  bassi;m.  anderle
shinan chur  sheng;a. e. siegman
j. m. goldsmith;stephen j. smith
moshe  gitterman;victor  steinberg
b.  duborgel;a.  devin
john r. ray;john g. hartley
john c. fuggle;santos f. alvarado
duane a. dolejsi;harold d. bale
d.  vichon;f.  gresteau
p. l. pillet;a.  pesnelle
m. c. buchet-poulizac;jean  désesquelles
a.  yamadera;keizo  ishii
paul r. keller;thomas a. carlson
lynn d. kissel;r. h. pratt
klaus h. berkner;p. j. schneider
michael a morrison;w. derek robb
boël  denne;indrek  martinson
william h. parkinson;peter l. smith
warren e. falconer;d. j. mcclure
a.  tamura;chiyoe  yamanaka
james l. skinner;m. d. fayer
c.  ebner;michael a. lee
t. a. litovitz;s. f. shirron
einar  hinnov;d. e. post
albert w. overhauser;j. l. staudenmann
a.  arnesen;carl  nordling
erling  veje;s.  huldt
r.  schieder;kazuyoshi  yamada
meera  chandrasekhar;j. s. lin
kingsley w. jones;brant m. johnson
j. p. apruzese;paul c. kepple
john t. park;james h. mcguire
j.  pommier;c.  kubach
j. o. ekberg;boël  denne
elliot p. kanter;donald s. gemmell
c.  higgs;gregory j. hatton
marco  zoppi;s. f. shirron
shinzou  kubota;akira  hitachi
lorenzo j. curtis;a. eugene livingston
s.  röhl;s.  hoppenau
sadao  nakai;h.  azechi
donald g. simons;david j. land
larry d. gardner;peter m. koch
s. c. chung;edward p. lee
rosalia  zangara;p.  cavaliere
k. w. hill;d.  eames
a.  langenberg;c. c. bahr
jiří  Čížek;harris j. silverstone
robert  anholt;ch.  stoller
kingsley w. jones;g.  gaukler
p. f. müller;f.  löffler
robert w. hellwarth;l. k. lam
brant m. johnson;kingsley w. jones
brahmananda  dasgupta;tarasankar  nag
michael s. feld;michael m. burns
savo  bratos;j. c. leicknam
steven w. haan;raymond d. mountain
h.  ramler;s. e. kuhn
phillip  sprangle;j. l. vomvoridis
b.  liberman;d.  dillenburg
mahn won kim;walter i. goldburg
stephen j. smith;j. m. goldsmith
patrick  richard;t. r. dillingham
v. c. sutcliffe;d. m. blankenship
y.  inada;sadao  nakai
claude  fabre;serge  haroche
boël  denne;lars  engström
jerry l. peacher;e.  redd
s. c. chung;chun c. lin
k.  fredriksson;s.  svanberg
n.  stolterfoht;jose d. garcia
barry g. adams;jiří  Čížek
peter e. toschek;c.  brechignac
robert  yaris;johannes  richter
bruce j. zabransky;a. k. edwards
a.  devin;c.  peugnet
r. j. girnius;a. m. howald
d. p. anderson;mietek  lisak
manfred o. krause;paul r. keller
siddheswar  chaudhuri;g. e. derkits
peter  otto;joseph e. avron
g. r. carignan;tong w. shyn
r. t. hawkins;jeffrey  bokor
eugene j. mcguire;b. g. ritchie
b.  jacquot;s.  bliman
j.  kiessling;jochen  schirmer
terence a. king;akira  hitachi
grzegorz  lapicki;f. d. mcdaniel
v. l. narasimham;chindhu s. warke
v.  nardi;j.  feugeas
h.  fietz;wolfgang  kiefer
bogumil  jeziorski;hendrik j. monkhorst
hendrik j. monkhorst;frank e. harris
kohei  yamada;y.  inada
alfred s. schlachter;klaus h. berkner
vitaly d. ovsiannikov;n. l. manakov
william  happer;l. k. lam
philippe  goy;claude  fabre
e.  alge;w.  lindinger
anthony f. starace;b. r. tambe
l. h. toburen;p.  ziem
charles d. moak;c. m. jones
n. v. udeh;fred w. inman
joseph  sucher;a. k. bhatia
tom j. gray;c. l. cocke
naseem k. rahman;michel  trahin
t. w. crane;g. zu putlitz
n. t. padial;gy.  csanak
g. n. bhattacharya;h. p. roy
k. a. smith;g. f. hildebrandt
e.  bovet;f.  boehm
a. c. gallagher;r. j. van brunt
robert  gilmore;r.  saxena
h. e. henrikson;f.  boehm
p.  juncar;m.  de saint-simon
kenneth i. golden;d.  merlini
m.  hamada;kohei  yamada
m. aslam baig;j. a. dagata
benjamin m. ocko;robert j. birgeneau
michael m. burns;michael s. feld
h.  daniel;r.  bergmann
j. l. vuilleumier;a. r. kunselman
peter m. koch;ivan a. sellin
frank s. tomkins;d. h. tracy
j. j. chmielewski;n. v. udeh
donald s. gemmell;nelson  cue
andrée  tallet;elisabeth  ressayre
b.  renier;h. p. garnir
e.  gürmen;duane a. dolejsi
bill  moran;william g. hoover
c. c. lau;k. w. wong
r. d. poliak;david r. herrick
p. h. kleban;h. ted davis
j. l. vialle;a.  pesnelle
bjarne  andresen;r. stephen berry
petr  vogel;h.  schneuwly
wade l. fite;h. h. lo
luigi a. lugiato;vincenzo g. benza
pierre  chevallier;jean pierre briand
petr  vogel;r. j. powers
l.  sjögren;e. l. pollock
joshua (yevsey) zavelovich;charles k. rhodes
m. a. piestrup;wayne d. kimura
e. j. beiting;c.  higgs
josef  paldus;m. j. boyle
chiyoe  yamanaka;sadao  nakai
jerry l. peacher;c. j. david lin
p.  juncar;p.  jacquinot
keith  burnett;robert j. ballagh
jacek  chrostowski;claude  delisle
j. l. vialle;p.  juncar
mars  semaan;c. a. quarles
m.  palmquist;peter  winkler
p.  juncar;s.  büttgenbach
hong tuan duong;robert  klapisch
j. t. hays;d. a. lubowich
c.  thibault;f.  touchard
mitio  inokuti;j. l. dehmer
e. b. justiniano;c. l. cocke
ronald e. olson;klaus h. berkner
w.  götze;sidney  yip
d.  van houtte;r.  geller
r.  guccione-gush;kazuyoshi  yamada
shunsuke  ohtani;toshinobu  takayanagi
e.  bernabeu;j. m. alvarez
f.  boehm;a. r. kunselman
hiroshi  kashiwagi;kenzo  miyazaki
j. c. poizat;m. j. gaillard
toshiki  tajima;j. n. leboeuf
j. a. dagata;m. aslam baig
a. w. mckellar;a. m. robinson
m. j. stott;eugene  zaremba
m. l. rustgi;james e. turner
r.  vetter;n. tran minh
munehiko  nagano;noriaki  tsukada
d. b. pearson;richard r. freeman
risto m. nieminen;i.  välimaa
f.  laperriere;victor  pol
k. w. hill;m.  bitter
f. g. mariam;s.  dhawan
s.  büttgenbach;gerhard  huber
a. s. ramachandran;chindhu s. warke
paul  soven;andrew m. zangwill
r.  dang;benjamin  bederson
j. p. downing;j. h. smart
donald r. beck;cleanthes a. nicolaides
sadao  nakai;hitoshi  nishimura
m. f. achard;f.  hardouin
t. k. umesh;b.  sanjeevaiah
j. f. giuliani;chi h. lee
alain  denis;x.  husson
l.  mandel;rajarshi  roy
david w. allender;g. l. henderson
g. d. alton;philip d. miller
j. william doane;philip j. bos
j. s. lin;harold d. bale
annabella  selloni;antonio  quattropani
p.  juncar;j.  pinard
f. bary malik;j. tserkrisme ndefru
robert  klapisch;j.  pinard
g.  nouchi;l.  letamendia
h.  egger;jeffrey  bokor
x.  husson;alain  denis
andrée  tallet;martine  le berre-rousseau
vu ngoc tuan;d.  dhuicq
j. c. leicknam;yves  guissani
boël  denne;s.  huldt
r. d. knight;michael h. prior
s.  dousson;d.  van houtte
wolfgang  neuwirth;ralph  krotz
s. j. pfeifer;jose d. garcia
chi h. lee;j. f. giuliani
f.  hardouin;r. j. tarento
james e. lawler;s.  salih
r. r. alfano;p. y. lu
paul r. keller;james w. taylor
p. a. souder;g. zu putlitz
hans  mark;bernd  crasemann
petr  vogel;j. l. vuilleumier
sadao  nakai;y.  inada
michael m. burns;p. g. pappas
carlos  falcon;a. s. ghosh
p. l. pillet;j. l. vialle
j. h. jacob;m.  kovacs
j. j. sanchez-mondragon;n. b. narozhny
j.  pinard;j. l. vialle
y.  inada;chiyoe  yamanaka
hugh e. dewitt;william b. hubbard
e. j. campbell;l. w. buxton
k.  inglis;elliot p. kanter
j  c. gauthier;john  weiner
eugene j. lauer;donald m. cox
sidney  yip;w.  götze
ronald e. olson;j. warren stearns
richard k. moats;barry g. adams
victor  pol;w. e. kauppila
s.  büttgenbach;p.  jacquinot
k. r. stalder;klaus h. berkner
d. j. mcclure;kenneth b. mcafee
michael a. johnson;lloyd a. hackel
c. l. kirschbaum;lawrence  wilets
h.  daniel;j. j. reidy
h.  villinger;h.  ramler
p.  jacquinot;s.  büttgenbach
m. s. dababneh;y. k. ho
awadh n. tripathi;s. n. singh
